amount,location_changed,new_device,failed_attempts,velocity,fraud
65809,1,1,7,6,1
29573,1,0,0,4,0
48564,1,1,7,7,1
6805,0,1,2,2,0
13353,0,1,2,2,1
77680,0,1,7,7,1
19642,0,0,2,4,0
118222,1,1,1,6,1
5350,0,0,1,0,0
147202,0,1,5,8,1
54889,0,0,3,1,0
18238,1,0,4,7,1
47288,1,1,5,3,1
12957,0,0,1,4,0
23974,0,0,1,2,0
29829,0,1,1,4,0
35252,0,0,1,0,0
15467,0,0,0,4,0
34916,1,0,5,8,1
103025,1,0,2,8,1
40370,1,0,2,1,0
23473,1,1,0,3,1
85756,0,1,6,0,1
25744,1,1,0,8,1
66788,1,1,4,6,1
57577,0,0,1,2,0
137113,1,1,6,4,1
43573,0,0,0,3,0
8059,0,0,3,1,0
36356,0,0,2,4,0
25514,0,1,0,4,0
46703,0,0,2,2,0
24818,1,1,0,0,0
44953,0,0,0,2,0
134404,1,1,5,7,1
22226,1,0,3,0,0
112934,1,1,1,5,1
75048,1,1,5,0,1
22978,1,1,7,7,1
18088,0,1,3,0,0
28066,1,0,0,3,0
46742,1,1,2,3,1
13155,0,0,0,1,0
54715,0,0,1,2,0
105889,1,0,1,5,1
46272,0,1,0,2,0
3540,0,0,0,3,0
12732,0,0,0,0,0
15742,0,0,0,2,0
52474,1,1,0,6,1
95199,1,0,1,5,1
41905,0,0,0,0,0
119104,1,1,1,8,1
30376,0,0,0,4,0
12444,0,1,3,1,0
30553,0,1,4,2,1
28783,0,1,6,3,1
40243,1,1,2,6,1
57591,0,1,6,5,1
18721,0,1,3,1,0
149201,1,1,2,4,1
27824,0,0,2,4,0
100360,1,1,5,2,1
107624,1,1,0,0,1
45484,1,0,3,4,1
24942,1,0,2,0,1
54226,0,1,1,2,0
89711,1,0,3,2,1
28273,1,1,2,2,0
51657,1,1,3,0,1
80411,1,1,0,7,1
9756,0,0,0,3,0
142223,1,1,1,7,1
35707,1,1,7,7,1
17332,1,0,1,3,0
14227,1,0,0,3,0
132554,1,1,7,2,1
2743,0,0,0,0,0
50310,0,0,0,1,0
21840,1,0,2,8,1
20833,0,0,2,2,0
30578,0,0,3,2,0
124732,1,1,7,5,1
99537,1,1,5,0,1
41665,1,1,7,1,1
59949,1,1,4,0,1
2618,1,0,3,8,1
9080,0,0,1,3,0
12539,0,0,0,1,0
52895,1,1,6,7,1
7878,0,1,5,5,1
126637,1,1,5,6,1
20712,0,0,0,3,0
39965,0,0,0,2,0
3640,1,1,7,3,1
53009,1,1,5,4,1
3003,1,0,3,2,0
111528,1,1,3,5,1
64659,0,0,4,7,1
21421,1,0,6,1,1
33347,0,0,3,4,0
23374,0,1,1,2,0
46239,0,0,1,2,0
74155,1,1,0,1,1
4584,0,0,0,0,0
58399,0,0,0,3,0
10207,0,0,2,3,0
50938,0,1,3,2,0
44470,1,0,1,1,0
27867,0,0,1,0,0
26972,0,0,1,2,0
37524,1,1,5,8,1
124753,1,1,2,6,1
100496,1,0,6,3,1
268,0,0,0,0,0
50111,0,0,1,4,0
136330,1,1,0,8,1
3112,0,0,2,2,0
25297,0,1,1,0,0
86373,1,1,1,6,1
67223,0,1,1,4,1
68303,1,1,7,6,1
136223,0,0,1,8,1
20662,0,0,1,2,0
27613,1,0,0,0,0
40538,1,0,1,8,1
32754,1,0,1,2,0
56932,0,0,1,1,0
78008,1,1,7,0,1
6224,0,1,0,0,0
78255,1,1,6,3,1
72131,1,1,5,2,1
35335,1,0,0,0,0
58762,0,0,2,2,0
40534,0,0,1,3,0
100766,0,1,0,5,1
22162,0,1,3,0,1
94762,1,1,2,7,1
89184,1,1,2,6,1
35786,0,0,0,1,1
29920,1,0,3,1,1
6428,0,0,1,0,0
126621,1,1,6,8,1
37633,0,0,0,0,0
114792,1,1,1,8,1
24187,1,0,0,1,0
36668,1,1,0,3,0
116630,1,1,3,1,1
21857,0,0,0,4,0
14441,0,1,1,0,0
108872,1,1,5,0,1
19833,0,0,2,4,0
36343,0,0,0,4,0
65292,0,1,7,1,1
38534,1,1,0,0,0
56031,0,1,2,4,0
2211,0,1,3,0,0
105273,1,1,3,0,1
38375,1,0,0,1,0
119277,1,1,3,0,1
13015,0,0,0,3,0
53948,0,0,0,2,0
40438,1,0,1,4,0
115084,1,1,2,6,1
78310,1,1,7,2,1
127961,0,1,4,7,1
32567,1,0,0,6,1
74952,1,1,0,7,1
56782,1,0,2,4,0
2954,1,0,4,5,1
62067,1,1,3,3,1
45544,0,1,0,3,0
68035,1,0,2,8,1
124871,1,1,7,5,1
28736,0,0,1,2,0
83988,1,1,4,3,1
13384,0,1,0,1,0
38963,1,1,4,6,1
51188,0,0,3,4,0
21257,1,1,2,2,1
118307,1,0,6,8,1
29716,0,0,0,0,0
14461,1,1,7,3,1
17979,0,1,2,0,1
31536,1,0,0,4,0
3110,0,0,0,0,0
62654,0,1,2,4,1
118451,1,1,2,3,1
127719,1,1,7,3,1
13743,1,1,1,3,1
24818,1,0,0,0,0
30998,0,1,1,2,0
3272,0,0,0,6,1
46317,0,0,2,1,0
51520,0,0,0,0,0
27502,0,0,3,2,0
63219,0,1,1,4,1
25496,0,0,1,2,0
28874,0,0,0,4,0
46865,1,1,7,6,1
140656,1,1,1,0,1
47474,1,0,0,2,0
16575,0,0,2,1,0
